,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,uw5b_6gdZ6hYsCz75lwBXg,outlaw-kitchens-san-antonio,Outlaw Kitchens,https://s3-media1.fl.yelpcdn.com/bphoto/1kx87hcM0FKmi2tfSOZoBQ/o.jpg,False,https://www.yelp.com/biz/outlaw-kitchens-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,180,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cafes', 'title': 'Cafes'}]",5.0,"{'latitude': 29.4546217, 'longitude': -98.5029868}",['delivery'],$$,"{'address1': '2919 N Flores St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78212', 'country': 'US', 'state': 'TX', 'display_address': ['2919 N Flores St', 'San Antonio, TX 78212']}",+12103004728,(210) 300-4728,4563.272003575844
1,Ejm_NHH1W8zOxm4GAsTItA,acu-bistro-bar-san-antonio-5,Acu Bistro Bar,https://s3-media2.fl.yelpcdn.com/bphoto/ysWeB3Oor-20yDobN7E5pQ/o.jpg,False,https://www.yelp.com/biz/acu-bistro-bar-san-antonio-5?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,119,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 29.64417164431572, 'longitude': -98.62134304899871}",['delivery'],$$$,"{'address1': '21715 IH-10 W', 'address2': 'Ste 111', 'address3': None, 'city': 'San Antonio', 'zip_code': '78257', 'country': 'US', 'state': 'TX', 'display_address': ['21715 IH-10 W', 'Ste 111', 'San Antonio, TX 78257']}",+12105301190,(210) 530-1190,19600.30569477007
2,3UP_5aGbdUHjpBWG5d7arQ,toro-kitchen-bar-san-antonio-2,Toro Kitchen + Bar,https://s3-media1.fl.yelpcdn.com/bphoto/PCtY635vrtYgHIFLwvFxPg/o.jpg,False,https://www.yelp.com/biz/toro-kitchen-bar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,458,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",4.5,"{'latitude': 29.42155, 'longitude': -98.47902}","['restaurant_reservation', 'delivery']",$$,"{'address1': '1142 E Commerce St', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['1142 E Commerce St', 'San Antonio, TX 78205']}",+12105921075,(210) 592-1075,8796.351897764014
3,_pLOAo5aDrabNYL6z6KJLw,enrique-tomas-san-antonio,Enrique Tomas,https://s3-media3.fl.yelpcdn.com/bphoto/G_5wLF9qThHX_fdr9mW9mg/o.jpg,False,https://www.yelp.com/biz/enrique-tomas-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,104,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 29.423222672486986, 'longitude': -98.48458317055167}","['pickup', 'delivery']",,"{'address1': '849 E Commerce St', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['849 E Commerce St', 'San Antonio, TX 78205']}",+12109865811,(210) 986-5811,8428.738710277956
4,KNPYZNSwS_VYuiPLpiVtBQ,los-azulejos-restaurant-san-antonio-3,Los Azulejos Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/sm4cYfwbD941ex5A6taaHw/o.jpg,False,https://www.yelp.com/biz/los-azulejos-restaurant-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,335,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 29.5372395450279, 'longitude': -98.5257215403357}","['pickup', 'delivery']",$$,"{'address1': '2267 NW Military Hwy', 'address2': 'Ste 101', 'address3': '', 'city': 'San Antonio', 'zip_code': '78213', 'country': 'US', 'state': 'TX', 'display_address': ['2267 NW Military Hwy', 'Ste 101', 'San Antonio, TX 78213']}",+12102814500,(210) 281-4500,4883.640582804314
5,mjM3efywgJX7AT7IOML3hA,box-st-all-day-san-antonio-2,Box St. All Day,https://s3-media3.fl.yelpcdn.com/bphoto/bXrdgKCFCz5tKJK6b2LHtw/o.jpg,False,https://www.yelp.com/biz/box-st-all-day-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,103,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 29.4200981, 'longitude': -98.4867829}",[],$$,"{'address1': '623 Hemisfair Blvd', 'address2': 'Ste 108', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['623 Hemisfair Blvd', 'Ste 108', 'San Antonio, TX 78205']}",+12109201602,(210) 920-1602,8752.303866384464
6,eglk84L_IwvD4KwPk0Rq3w,cappys-restaurant-san-antonio,Cappy's Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/f61wVSOmsVDro0qU1S7P4A/o.jpg,False,https://www.yelp.com/biz/cappys-restaurant-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,635,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 29.472594736048368, 'longitude': -98.46347465071534}",['delivery'],$$,"{'address1': '5011 Broadway St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['5011 Broadway St', 'San Antonio, TX 78209']}",+12108289669,(210) 828-9669,5495.606493265209
7,3z3CIWrWWSBAXenfmdgxVw,valeria-boerne-2,Valeria ,https://s3-media2.fl.yelpcdn.com/bphoto/ISN4cHoJZ2ju8EfQZrBg5Q/o.jpg,False,https://www.yelp.com/biz/valeria-boerne-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,234,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 29.7750538913857, 'longitude': -98.7251559914017}","['pickup', 'delivery']",$$,"{'address1': '109 Waterview Pkwy', 'address2': 'Ste 105', 'address3': '', 'city': 'Boerne', 'zip_code': '78006', 'country': 'US', 'state': 'TX', 'display_address': ['109 Waterview Pkwy', 'Ste 105', 'Boerne, TX 78006']}",+18303311393,(830) 331-1393,37262.94921366481
8,draDfGwdcZZdeNF8Shk-Vw,toro-kitchen-bar-san-antonio,Toro Kitchen + Bar,https://s3-media1.fl.yelpcdn.com/bphoto/0XP75UvovYbt3wtOw_9nIQ/o.jpg,False,https://www.yelp.com/biz/toro-kitchen-bar-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,534,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 29.6102893666392, 'longitude': -98.4896817867196}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '115 N Loop 1604 E', 'address2': 'Ste 1105', 'address3': None, 'city': 'San Antonio', 'zip_code': '78232', 'country': 'US', 'state': 'TX', 'display_address': ['115 N Loop 1604 E', 'Ste 1105', 'San Antonio, TX 78232']}",+12105921075,(210) 592-1075,13102.120084074988
9,T-61I57wg6KYcvk3eo5PUw,botero-tapas-wine-bar-boerne-2,Botero Tapas + Wine Bar,https://s3-media2.fl.yelpcdn.com/bphoto/N7Vym-LkWA6O_Qc6OsJRCA/o.jpg,False,https://www.yelp.com/biz/botero-tapas-wine-bar-boerne-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,79,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 29.7932142, 'longitude': -98.7307237}",['delivery'],$$,"{'address1': '161 S Main St', 'address2': None, 'address3': '', 'city': 'Boerne', 'zip_code': '78006', 'country': 'US', 'state': 'TX', 'display_address': ['161 S Main St', 'Boerne, TX 78006']}",+18304463035,(830) 446-3035,39252.46442612437
